Name;Guest OS;IP Address
FRT-Report-DB-HA-2;Microsoft Windows Server 2019 (64-bit);10.96.101.86
ICT-DB-PAYMENTGW-SOM;Microsoft Windows Server 2019 (64-bit);10.96.101.89
DB-POSWRAPPER-PROD;Microsoft Windows Server 2019 (64-bit);10.96.101.9
FRT-LC-DELIVERY-DB;Microsoft Windows Server 2019 (64-bit);10.96.101.95
FRT-Debit-DB-Prod;Microsoft Windows Server 2019 (64-bit);10.96.101.98
FRTDC06;Microsoft Windows Server 2016 (64-bit);10.96.102.1
PAM-JUMP;Microsoft Windows Server 2019 (64-bit);10.96.102.106
PAM-JUMP-2;Microsoft Windows Server 2019 (64-bit);10.96.102.107
Scanner-02;Microsoft Windows Server 2019 (64-bit);10.96.102.108
FRT-ATA;Microsoft Windows Server 2019 (64-bit);10.96.102.113
FIM-RODC;Microsoft Windows Server 2016 (64-bit);10.96.102.5
FRTDC07;Microsoft Windows Server 2016 (64-bit);10.96.102.7
FRTDC08;Microsoft Windows Server 2016 (64-bit);10.96.102.8
RODC-FPT.COM;Microsoft Windows Server 2022 (64-bit);10.96.102.9
ICTWEBSERVICES;Microsoft Windows Server 2019 (64-bit);10.96.120.1
ICTSERVICES;Microsoft Windows Server 2019 (64-bit);10.96.120.129
ICTFEWEBSV-NEW;Microsoft Windows Server 2019 (64-bit);10.96.120.2
ICTBEWEBSV;Microsoft Windows Server 2019 (64-bit);10.96.120.3
ICTWebLanding;Microsoft Windows Server 2019 (64-bit);10.96.120.7
ICTDBSERVICES;Microsoft Windows Server 2016 (64-bit);10.96.121.1
ICTDBSERVICES2;Microsoft Windows Server 2019 (64-bit);10.96.121.2
ICTDBWEBSV2;Microsoft Windows Server 2019 (64-bit);10.96.121.3
ICTDBLOG;Microsoft Windows Server 2019 (64-bit);10.96.121.4
ICTDBWEBSV;Microsoft Windows Server 2019 (64-bit);10.96.121.5
ECOM-DB-PRODUCT;Microsoft Windows Server 2019 (64-bit);10.96.121.7
ECOM-RSA-DB;Microsoft Windows Server 2019 (64-bit);10.96.121.9
ECOM-LC-CMS-PostgreSQL;Ubuntu Linux (64-bit);10.96.121.13
WEB-ECOM-DB;Ubuntu Linux (64-bit);10.96.121.8
Proxy-payment-webhook;Ubuntu Linux (64-bit);10.96.121.228
DMZ-IMAGES;Ubuntu Linux (64-bit);10.96.121.229
flc-preprod-thumbor;Ubuntu Linux (64-bit);10.96.121.230
BAPP;Ubuntu Linux (64-bit);10.96.121.234
ECOM-NGINX-DEV;Ubuntu Linux (64-bit);10.96.121.236
ECOM-FRT-UNIT;Ubuntu Linux (64-bit);10.96.121.239
ECOM-FRONTEND-REACT;Ubuntu Linux (64-bit);10.96.120.10
ecom-ict-redis;Ubuntu Linux (64-bit);10.96.120.12
ECOM-RSA-WEB-1;Ubuntu Linux (64-bit);10.96.120.13
ECOM-RSA-WEB-2;Ubuntu Linux (64-bit);10.96.120.14
ECOM-RSA-JOB;Ubuntu Linux (64-bit);10.96.120.17
ECOM-PAYMENT-PORTAL;Ubuntu Linux (64-bit);10.96.120.18
FRTES;Ubuntu Linux (64-bit);10.96.120.19
FRTLCES;Ubuntu Linux (64-bit);10.96.120.20
FRTLCES2;Ubuntu Linux (64-bit);10.96.120.21
ECOM-STOREFRONT-REDIS;Ubuntu Linux (64-bit);10.96.120.28
ECOM-CUSTOMER-REDIS;Ubuntu Linux (64-bit);10.96.120.29
ECOM-CMS-Redis;Ubuntu Linux (64-bit);10.96.120.33
WEB-NHATHUOC-BE-FE-2;Ubuntu Linux (64-bit);10.96.120.36
FLC-PREPRO-CMS-CORE-1;Ubuntu Linux (64-bit);10.96.120.40
frtnhathuoc-3;Ubuntu Linux (64-bit);10.96.120.43
CF-Tunnel;Ubuntu Linux (64-bit);10.96.120.47
core-product-api;Ubuntu Linux (64-bit);10.96.120.8
front-door-api;Ubuntu Linux (64-bit);10.96.120.9
PROXY-LC-OFFLINE;Ubuntu Linux (64-bit);10.201.152.65
PROXY-PRINT-CENTER;Ubuntu Linux (64-bit);10.201.152.66
PROXY-ICT-OFFLINE;Ubuntu Linux (64-bit);10.201.152.67
PROXY-WEB-LC;Ubuntu Linux (64-bit);10.201.152.2
PROXY-PAYMENT;Ubuntu Linux (64-bit);10.201.152.4
PROXY-PUBLIC-01;Ubuntu Linux (64-bit);10.201.152.5
PROXY-NHAPTHUOC;Ubuntu Linux (64-bit);10.201.152.6
ubuntu;Ubuntu Linux (64-bit);10.201.136.100
ICT-POSTGRESQL-1-y37kum4f-master1;Ubuntu Linux (64-bit);10.201.136.101
ICT-POSTGRESQL-1-y37kum4f-slave1;Ubuntu Linux (64-bit);10.201.136.102
ICT-POSTGRESQL-1-y37kum4f-slave2;Ubuntu Linux (64-bit);10.201.136.103
ICT-MONGODB-1-8mep8c11-master1;Ubuntu Linux (64-bit);10.201.136.105
ICT-MONGODB-1-8mep8c11-slave1;Ubuntu Linux (64-bit);10.201.136.106
ICT-MONGODB-1-8mep8c11-slave2;Ubuntu Linux (64-bit);10.201.136.107
ICT-MONGODB-OMS-s099stc0-master1;Ubuntu Linux (64-bit);10.201.136.108
ICT-MONGODB-CONTRACT-xozxowyb-master1;Ubuntu Linux (64-bit);10.201.136.109
ICT-KONG-DB-nuigzy9b-master1;Ubuntu Linux (64-bit);10.201.136.110
ICT-KONG-DB-nuigzy9b-slave1;Ubuntu Linux (64-bit);10.201.136.111
ICT-KONG-DB-nuigzy9b-slave2;Ubuntu Linux (64-bit);10.201.136.112
ICT-MONGODB-INVENTORY-u674kj3q-master1;Ubuntu Linux (64-bit);10.201.136.114
ICT-MONGODB-DEBIT-j4aisoy9-master1;Ubuntu Linux (64-bit);10.201.136.115
ICT-PIM-Mongodb;Ubuntu Linux (64-bit);10.201.136.12
PROD-ICT-ES-01;Ubuntu Linux (64-bit);10.201.136.13
PROD-ICT-ES-02;Ubuntu Linux (64-bit);10.201.136.14
PROD-ICT-ES-03;Ubuntu Linux (64-bit);10.201.136.15
PROD-ICT-ES-KIBANA;Ubuntu Linux (64-bit);10.201.136.16
PROD-ICT-ES-MONITOR;Ubuntu Linux (64-bit);10.201.136.17
ICT-KONG-DB;Ubuntu Linux (64-bit);10.201.136.2
ict-nginx-1;Ubuntu Linux (64-bit);10.201.139.128
ict-nginx-2;Ubuntu Linux (64-bit);10.201.139.129
ICT-ZOOKEEPER-1;Ubuntu Linux (64-bit);10.201.137.1
ict-redis-1;Ubuntu Linux (64-bit);10.201.137.10
ICT-INVENTORY-REDIS;Ubuntu Linux (64-bit);10.201.137.11
ICT-PIM-REDIS;Ubuntu Linux (64-bit);10.201.137.12
ICT-ZUUL-Redis;Ubuntu Linux (64-bit);10.201.137.13
ict-inventory-redis;Ubuntu Linux (64-bit);10.201.137.14
DEV-ICT-REDIS-1;Ubuntu Linux (64-bit);10.201.137.15
ICT-REDIS-RSA;Ubuntu Linux (64-bit);10.201.137.16
ICT-REDISPRINTSOCKET;Ubuntu Linux (64-bit);10.201.137.17
ICT-Payment-Core-Redis;Ubuntu Linux (64-bit);10.201.137.18
ICT-REDIS-PRINTCENTER;Ubuntu Linux (64-bit);10.201.137.19
ICT-ZOOKEEPER-2;Ubuntu Linux (64-bit);10.201.137.2
ICT-REDIS-RCA;Ubuntu Linux (64-bit);10.201.137.20
ICT-REDIS-OrderRuler;Ubuntu Linux (64-bit);10.201.137.21
ICT-ZOOKEEPER-3;Ubuntu Linux (64-bit);10.201.137.3
ICT-KAFKA-1;Ubuntu Linux (64-bit);10.201.137.4
ICT-KAFKA-2;Ubuntu Linux (64-bit);10.201.137.5
ICT-KAFKA-3;Ubuntu Linux (64-bit);10.201.137.6
ICT-RABBITMQ-01;Ubuntu Linux (64-bit);10.201.137.7
ICT-RABBITMQ-02;Ubuntu Linux (64-bit);10.201.137.8
ICT-RABBITMQ-03;Ubuntu Linux (64-bit);10.201.137.9
frt-partner-gw;Ubuntu Linux (64-bit);10.96.102.83
FRT-GW-Log-Agent;Ubuntu Linux (64-bit);10.96.102.84
FRT-RSA-API-01;Ubuntu Linux (64-bit);10.96.103.129
FRT-RSA-API-02;Ubuntu Linux (64-bit);10.96.103.130
FRT-LC-INVENTORY-1;Ubuntu Linux (64-bit);10.96.103.133
FRT-LC-INVENTORY-2;Ubuntu Linux (64-bit);10.96.103.134
Shipment-Integration-API-1;Ubuntu Linux (64-bit);10.96.103.135
Shipment-Integration-API-2;Ubuntu Linux (64-bit);10.96.103.136
FRT-RSA-API-03;Ubuntu Linux (64-bit);10.96.103.137
FRT-RSA-API-04;Ubuntu Linux (64-bit);10.96.103.138
FRT-LC-INVENTORY-3;Ubuntu Linux (64-bit);10.96.103.139
FRT-LC-INVENTORY-4;Ubuntu Linux (64-bit);10.96.103.140
FRT-ES-API-1;Ubuntu Linux (64-bit);10.96.103.141
FRT-ES-API-2;Ubuntu Linux (64-bit);10.96.103.142
Shipment-Integration-API-3;Ubuntu Linux (64-bit);10.96.103.143
FLC-BE-Indexing-Service-1;Ubuntu Linux (64-bit);10.96.103.144
FLC-BE-Indexing-Service-2;Ubuntu Linux (64-bit);10.96.103.145
FLC-BE-Indexing-Service-3;Ubuntu Linux (64-bit);10.96.103.146
FLC-BE-Indexing-Serivce-4;Ubuntu Linux (64-bit);10.96.103.147
FLC-BE-Hope-RSA-1;Ubuntu Linux (64-bit);10.96.103.148
FLC-BE-Hope-RSA-2;Ubuntu Linux (64-bit);10.96.103.149
FRT-CAR-SERVICE-1;Ubuntu Linux (64-bit);10.96.103.150
FRT-CAR-SERVICE-2;Ubuntu Linux (64-bit);10.96.103.151
FRT-CAR-SERVICE-3;Ubuntu Linux (64-bit);10.96.103.152
FLC-CUSTOMER360-RSA;Ubuntu Linux (64-bit);10.96.103.153
FRT-IAM-API-1;Ubuntu Linux (64-bit);10.96.103.154
FRT-IAM-API-2;Ubuntu Linux (64-bit);10.96.103.155
FLC-DX-LoyaltyRule-1;Ubuntu Linux (64-bit);10.96.103.156
FLC-DX-LoyaltyRule-2;Ubuntu Linux (64-bit);10.96.103.157
FLC-DX-LoyaltyRule-3;Ubuntu Linux (64-bit);10.96.103.158
FLC-IMS-CORE-API-2;Ubuntu Linux (64-bit);10.96.103.159
FLC-RSA-BE-V2-01;Ubuntu Linux (64-bit);10.96.103.160
FLC-RSA-ECOM-BE-V2-01;Ubuntu Linux (64-bit);10.96.103.161
FLC-RSA-BE-V2-02;Ubuntu Linux (64-bit);10.96.103.162
LC-LEGACY-API;Ubuntu Linux (64-bit);10.96.103.163
FLC-IMS-BOOKING-API-2;Ubuntu Linux (64-bit);10.96.103.164
LC-LEGACY-API-02;Ubuntu Linux (64-bit);10.96.103.165
FLC-SERVICE-ORDER-API;Ubuntu Linux (64-bit);10.96.103.166
FLC-CONTRACT-API;Ubuntu Linux (64-bit);10.96.103.167
FLC-PAYMENT-PORTAL-WEB;Ubuntu Linux (64-bit);10.96.103.168
FLC-PAYMENT-PORTAL-WEB-02;Ubuntu Linux (64-bit);10.96.103.169
FLC-SERVICE-ORDER-API-02;Ubuntu Linux (64-bit);10.96.103.170
FLC-CONTRACT-API-02;Ubuntu Linux (64-bit);10.96.103.171
FLC-PAYMENT;Ubuntu Linux (64-bit);10.96.103.172
